지역,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,"3,117,268",3116923,3115402,3118055,3118052,3118428,3119041,3118682,3120541,3120004,"3,119,133","3,119,895"
경기,"5,409,838",5419112,5437891,5459424,5479881,5499897,5518936,5535028,5552738,5571856,"5,596,404","5,613,706"
인천,"1,518,008",1522781,1527380,1532683,1537223,1543386,1548359,1552812,1557836,1563850,"1,568,818","1,576,806"
대구,"1,159,141",1160456,1162406,1163398,1164869,1167576,1168986,1169411,1171070,1171677,"1,173,162","1,173,958"
제주,"501,053",504376,508813,513288,517886,522722,528281,532151,535682,538655,"542,444","545,490"
