지역,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,0.64,0.62,0.55,0.48,0.44,0.45,0.37,0.36,0.38,0.47,0.66,0.65
경기,0.67,0.58,0.53,0.41,0.39,0.37,0.32,0.34,0.36,0.43,0.61,0.61
인천,0.7,0.64,0.55,0.5,0.46,0.44,0.39,0.38,0.43,0.5,0.65,0.64
대구,0.58,0.54,0.25,0.38,0.34,0.32,0.29,0.31,0.32,0.4,0.58,0.61
제주,0.28,0.35,0.4,0.28,0.23,0.18,0.15,0.15,0.15,0.23,0.25,0.25
